-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,04,24,   16.04,   14.09,   14.09,   62.23,   98.64,    4.94,    3.31,    4.41,    3.34,              6.07,              5.34
50.12151,22.00971,2015,04,25,   13.62,   15.67,   15.41,   62.89,   98.58,    5.52,    3.57,    3.92,    2.81,              6.11,              5.14
50.12151,22.00971,2015,04,26,    9.19,   15.30,   15.30,   69.81,   98.26,    5.49,    3.53,    3.51,    2.50,-999,              4.89
50.12151,22.00971,2015,04,27,   14.13,   16.88,   16.44,   68.38,   98.03,    5.91,    3.85,    6.75,    3.95,              6.16,              5.66
50.12151,22.00971,2015,04,28,   11.63,   16.04,   15.97,   73.61,   97.76,    5.84,    3.84,    5.06,    4.14,              6.16,              4.16
50.12151,22.00971,2015,04,29,    9.76,    9.24,    8.60,   67.13,   98.89,    9.10,    6.80,    7.11,    7.14,-999,              3.62
50.12151,22.00971,2015,04,30,   14.02,   10.42,    9.54,   57.39,   99.07,    5.17,    3.44,    3.41,    3.44,              6.58,              6.09
50.12151,22.00971,2015,05,01,    9.80,   12.54,   12.00,   70.13,   98.20,    3.66,    2.64,    6.29,    5.19,-999,              3.65
50.12151,22.00971,2015,05,02,    8.94,    9.70,    9.70,   77.53,   98.21,    4.18,    2.89,    3.84,    3.09,-999,              2.62
50.12151,22.00971,2015,05,03,   14.01,   11.69,   10.48,   56.15,   98.71,    3.08,    1.79,    7.24,    3.19,-999,              4.89
50.12151,22.00971,2015,05,04,   10.59,   12.98,   12.76,   79.93,   98.60,    5.12,    3.46,    4.25,    3.47,-999,              2.56
50.12151,22.00971,2015,05,05,   13.13,   17.65,   17.52,   78.16,   98.59,    4.67,    3.01,    6.28,    3.33,              6.41,              6.09
